Source,/home/echopen/Bureau/GitHub/electronic/kicad/Modules/MDL_Ramp/Ramp_generator_FPGA_and_DAC_module/schema.sch
Kicad Rev,Eeschema 4.0.2+e4-6225~38~ubuntu16.04.1-stable
Generated Date,ven. 05 août 2016 16:42:54 CEST

Title,Not Set
Company,Not Set
Revision,Not Set
Date Issue,Not Set

Reference,Value,Library,Library Ref
U2,DAC08,adc-dac,DAC08
R2,6.8k,device,R
R1,6.8k,device,R
C1,100n,device,C
C2,10n,device,C
C3,100n,device,C
R3,4,7k,device,R
U1,OP37G,linear,CA3130
R4,12k,device,R
C4,560p,device,C
U3,FPGA_Pluto,echopen,FPGA_Pluto
